x y phi
0.05 1.47 5.12569196883276
0.05 1.5 0.15643446504023087
0.06 0.0 0.0
0.06 0.03 0.19307318136403964
0.06 0.06 0.42150939372211993
0.06 0.09 0.6581361424656759
0.06 0.12 0.8957542438767332
0.06 0.15 1.1327552145175699
0.06 0.18 1.3686769632278484
0.06 0.21 1.6032531202699685
0.06 0.24 1.836247693193391
0.06 0.27 2.0674301850713115
0.06 0.3 2.296572381133583
0.06 0.32999999999999996 2.5234481383925997
0.06 0.36 2.747833557087535
0.06 0.39 2.969507195820406
0.06 0.42 3.1882502894648006
0.06 0.44999999999999996 3.4038469649956955
0.06 0.48 3.6160844545235706
0.06 0.51 3.8247533052700002
0.06 0.54 4.02964758627219
0.06 0.57 4.230565091611977
0.06 0.6 4.427307539968656
0.06 0.63 4.619680770298704
0.06 0.6599999999999999 4.807494933449285
0.06 0.69 4.990564679516449
0.06 0.72 5.168709340763107
0.06 0.75 5.341753109916273
0.06 0.78 5.50952521366762
0.06 0.8099999999999999 5.671860081206114
0.06 0.84 5.828597507616428
0.06 0.87 5.979582811981828
0.06 0.8999999999999999 6.124666990035584
0.06 0.9299999999999999 6.26370686121018
0.06 0.96 6.396565209939257
0.06 0.99 6.5231109210728
0.06 1.02 6.6432191092719695
0.06 1.05 6.7567712422558515
0.06 1.08 6.863655257778504
0.06 1.1099999999999999 6.963765674220872
0.06 1.14 7.057003694688402
0.06 1.17 7.143277304511654
0.06 1.2 7.222501362053674
0.06 1.23 7.294597682734507
0.06 1.26 7.359495116189928
0.06 1.29 7.417129616488285
0.06 1.3199999999999998 7.467444305336079
0.06 1.3499999999999999 7.5103895282099815
0.06 1.38 7.545911141223167
0.06 1.41 7.572818380185428
0.06 1.44 7.548205569570621
0.06 1.47 6.746384793065329
0.06 1.5 0.1873813145857246
0.07 0.0 0.0
0.07 0.03 0.24104449180859078
0.07 0.06 0.528074278443376
0.07 0.09 0.8261143112651173
0.07 0.12 1.1256077650036034
0.07 0.15 1.4243713895480221
0.07 0.18 1.72178635340807
0.07 0.21 2.017509930010072
0.07 0.24 2.3112434633853396
0.07 0.27 2.602696198151511
0.07 0.3 2.891580399678248
0.07 0.32999999999999996 3.177610961953783
0.07 0.36 3.4605056060056016
0.07 0.39 3.7399851488323375
0.07 0.42 4.0157737778526545
0.07 0.44999999999999996 4.287599322984631
0.07 0.48 4.5551935252329745
0.07 0.51 4.818292301427094
0.07 0.54 5.076636004839185
0.07 0.57 5.32996968142419
0.07 0.6 5.578043321428668
0.07 0.63 5.820612106120228
0.07 0.6599999999999999 6.057436649394062
0.07 0.69 6.2882832340181345
0.07 0.72 6.512924042283866
0.07 0.75 6.731137380834714
0.07 0.78 6.942707899450742
0.07 0.8099999999999999 7.147426803573292
0.07 0.84 7.345092060360014
0.07 0.87 7.535508598066869
0.07 0.8999999999999999 7.718488498560412
0.07 0.9299999999999999 7.893851182770284
0.07 0.96 8.061423588898966
0.07 0.99 8.22104034321287
0.07 1.02 8.37254392324625
0.07 1.05 8.515784813256866
0.07 1.08 8.650621651779955
0.07 1.1099999999999999 8.776921371134948
0.07 1.14 8.89455932874719
